Location,WeekNum,avg_price,median_price,std_price,years_count,avg_norm,risk_norm,HighPriceScore,Label,conf_score,Confidence
Galenbidunuwewa,20,149.422222225,147.84444445000003,9.197530531749766,4,0.6365112505086324,0.19519722447636775,0.6785841317623824,MODERATE,0.42927671211281015,Medium
Galenbidunuwewa,21,147.39814815,147.7962963,12.387449398378736,4,0.5942550067725623,0.27662808432502284,0.626534233998166,MODERATE,0.42480325427966814,Medium
Galenbidunuwewa,22,146.774074075,146.54814815,16.4351842460319,4,0.5812263204471556,0.3799568970205277,0.5909305160802348,MODERATE,0.4191268180072148,Medium
Galenbidunuwewa,23,153.45,145.9,30.75077234802404,4,0.7205984691916364,0.7453989966863143,0.6040991027221487,MODERATE,0.39905101595442855,Low
Galenbidunuwewa,24,155.583333325,144.16666665,33.042481079244375,4,0.7651356993577216,0.8039007393037223,0.6228765896923606,MODERATE,0.39583718425412845,Low
Galenbidunuwewa,25,163.083333325,144.16666665,40.72434434960931,4,0.9217118997719894,0.9999999999744725,0.6912839248353739,MODERATE,0.3850643424181054,Low
Galenbidunuwewa,26,162.333333325,150.0,30.717349430284873,4,0.9060542797305626,0.744545790995529,0.7434042620490398,STRONG,0.39909788737010343,Low
Galenbidunuwewa,27,161.133333325,147.6,31.71512083106241,4,0.8810020876642795,0.7700164648573925,0.7182474495338614,MODERATE,0.39769863915248016,Low
Galenbidunuwewa,28,162.383333325,150.1,30.794822804797715,4,0.9070981210666573,0.7465234975660489,0.7436927164084808,STRONG,0.3989892407591504,Low
Galenbidunuwewa,29,162.383333325,150.1,30.794822804797715,4,0.9070981210666573,0.7465234975660489,0.7436927164084808,STRONG,0.3989892407591504,Low
Galenbidunuwewa,30,162.483333325,150.3,30.728795768120957,4,0.9091858037388475,0.7448379881237573,0.7456798557731963,STRONG,0.399081835328721,Low
Galenbidunuwewa,31,162.383333325,150.1,30.794822804797715,4,0.9070981210666573,0.7465234975660489,0.7436927164084808,STRONG,0.3989892407591504,Low
Galenbidunuwewa,32,162.833333325,151.0,30.50690268757038,4,0.9164926930915138,0.739173598181829,0.7525761202731781,STRONG,0.3993930123149739,Low
Galenbidunuwewa,33,166.833333325,151.0,38.42458704339653,4,0.9999999999791233,0.9412927968392287,0.7646768007745353,STRONG,0.38828946122705965,Low
Galenbidunuwewa,34,163.883333325,150.1,33.760743153533944,4,0.9384133611495109,0.8222362207850703,0.7482509656658656,STRONG,0.39482991252189314,Low
Galenbidunuwewa,35,161.383333325,147.26666665,35.73994031582718,4,0.886221294344755,0.8727603041470633,0.6964758947218004,MODERATE,0.39205433877874346,Low
Galenbidunuwewa,36,164.133333325,147.26666665,39.03138339074796,4,0.9436325678299865,0.9567828297785517,0.7185287184278519,STRONG,0.3874385060815923,Low
Galenbidunuwewa,37,164.133333325,147.26666665,39.03138339074796,4,0.9436325678299865,0.9567828297785517,0.7185287184278519,STRONG,0.3874385060815923,Low
Galenbidunuwewa,38,164.333333325,147.26666665,38.86821038186462,4,0.9478079331743673,0.9526174202578059,0.722701594816324,STRONG,0.3876673355927071,Low
Galenbidunuwewa,39,158.383333325,147.26666665,31.33278368916848,4,0.8235908141790479,0.7602563287792602,0.6776290284394708,MODERATE,0.3982348186460088,Low
Galenbidunuwewa,40,157.133333325,147.26666665,31.14382407683567,4,0.79749478077667,0.7554326500738547,0.6592629230640389,MODERATE,0.3984998106076479,Low
Galenbidunuwewa,41,152.733333325,147.26666665,22.51833821153081,4,0.7056367432002995,0.5352450026787802,0.6454163067305295,MODERATE,0.41059596380842833,Medium
Galenbidunuwewa,42,153.133333325,147.26666665,22.046012494981692,4,0.7139874738890606,0.5231876774503575,0.654693686054206,MODERATE,0.4112583408985152,Medium
Galenbidunuwewa,43,154.833333325,147.26666665,26.151779210133213,4,0.749478079316295,0.6279979023906849,0.65510908388955,MODERATE,0.4055005222702446,Medium
Galenbidunuwewa,44,154.133333325,147.26666665,23.17335635441895,4,0.7348643006109629,0.5519660206174644,0.6631567203038561,MODERATE,0.4096773836925492,Medium
Galenbidunuwewa,45,152.983333325,147.26666665,20.711590963972043,4,0.710855949880775,0.48912314565067977,0.6608611759979114,MODERATE,0.4131296983531068,Medium
Galenbidunuwewa,46,153.083333325,147.26666665,20.599056079641667,4,0.7129436325529658,0.4862504041242862,0.6631451233836528,MODERATE,0.41328751429791843,Medium
Galenbidunuwewa,47,153.083333325,147.26666665,20.599056079641667,4,0.7129436325529658,0.4862504041242862,0.6631451233836528,MODERATE,0.41328751429791843,Medium
Galenbidunuwewa,48,153.383333325,147.26666665,20.26954475838622,4,0.7192066805695361,0.4778387825935941,0.6699453147787535,MODERATE,0.4137496122580264,Medium
Galenbidunuwewa,49,152.333333325,147.26666665,23.00879059596329,4,0.697286012511539,0.5477650575920782,0.6360232449856347,MODERATE,0.4099081663588207,Medium
Galenbidunuwewa,50,152.333333325,147.26666665,23.00879059596329,4,0.697286012511539,0.5477650575920782,0.6360232449856347,MODERATE,0.4099081663588207,Medium
Galenbidunuwewa,51,152.333333325,147.26666665,23.00879059596329,4,0.697286012511539,0.5477650575920782,0.6360232449856347,MODERATE,0.4099081663588207,Medium
Galenbidunuwewa,52,151.18333332499998,147.26666665,16.794741246956516,4,0.6732776617813506,0.3891355115790969,0.6576743684412387,MODERATE,0.41862258478076064,Medium
Monaragala,1,61.08809523785715,33.08333333333333,53.25711799025124,14,0.4965479618707954,0.3533911249085423,0.5340631901759609,MODERATE,0.7674887121770648,High
Monaragala,2,58.73095238071429,31.583333333333336,48.049010705873506,14,0.3289154018530334,0.16117559682074914,0.4563926521845878,MODERATE,0.7747924240585411,High
Monaragala,3,57.159523809285716,32.083333333333336,46.48210606664779,14,0.2171603618411916,0.10334587361296962,0.38703380297765133,WEAK,0.7769898096740375,High
Monaragala,4,56.06428571404762,30.666666666666664,45.8695632366516,14,0.13927048546930212,0.08073876567237812,0.3342681726838821,WEAK,0.7778488235347496,High
Monaragala,5,54.50476190452381,31.5,43.681934808224526,14,0.028362074548459383,0.0,0.27127155591134455,WEAK,0.7809166957717301,High
Monaragala,6,54.25476190452381,30.333333333333336,44.57229910374008,14,0.010582863637484603,0.03286066010321946,0.2497219827023086,WEAK,0.779668072437202,High
Monaragala,7,54.10595238071429,30.0,44.636546296514254,14,0.0,0.035231830168069966,0.2411920424579825,WEAK,0.7795779738736368,High
Monaragala,8,54.91190476166667,30.0,46.298859352128055,14,0.0573167894606184,0.09658279019734603,0.2688418945461273,WEAK,0.7772467900189113,High
Monaragala,9,55.05267857119048,30.0,47.22714461061665,14,0.06732817846167904,0.13084299864422666,0.2677853841852026,WEAK,0.7759449873290628,High
